date,entity,amount_bn,type,is_circular,counterparty,source,notes
2025-01-21,Stargate JV,500.0,hybrid,true,"OpenAI / SoftBank / Oracle",White House announcement,Joint venture with Oracle infrastructure + SoftBank capital; OpenAI as anchor tenant — circular: OpenAI consumes its own JV's capacity
2025-01-22,Microsoft,80.0,balance_sheet,false,,Microsoft blog post,FY2025 AI datacenter commitment from operating cash flow
2025-03-28,CoreWeave,1.5,ipo,false,,SEC S-1 filing,IPO at $40/share raised $1.5B; heavily debt-financed business model
2025-05-15,CoreWeave,12.5,debt,true,Nvidia (collateral),Bloomberg,Debt facility backed by Nvidia GPU collateral — Nvidia supplies the GPUs that collateralize the loans
2025-07-01,Anthropic,10.0,equity,false,Various,Anthropic press release,Series F at $183B valuation — pure equity round
2025-09-01,OpenAI,10.0,equity,true,"Microsoft / Nvidia / others",FT,Equity round with major GPU supplier and cloud provider as investors
2025-12-01,Oracle,38.0,debt,false,,Bloomberg,Corporate debt raise specifically for new data center construction
2026-01-15,xAI,20.0,equity,true,Nvidia (investor),Bloomberg,Series E at $230B — Nvidia invested directly; xAI is major Nvidia GPU buyer
2026-02-01,Anthropic,30.0,equity,false,"Various (incl. Google)",CNBC,Series at $380B valuation — Google is both investor and cloud provider (mild circularity)
2025-03-31,OpenAI,40.0,equity,false,"SoftBank / syndicate",CNBC March 31 2025,SoftBank-led Series at $300B valuation — largest private fundraise on record; SoftBank also anchor of Stargate JV (mild circularity)
2025-06-10,Scale AI,14.3,equity,true,Meta,TechCrunch June 13 2025,Meta acquired 49% non-voting stake at $29B valuation — circular: Meta is both investor and primary data-labeling customer; CEO Wang departed to Meta
2025-07-01,xAI,10.0,hybrid,false,,CNBC July 1 2025,Combined debt+equity raise at ~$150B valuation; precursor to September pure-equity round
2025-09-19,xAI,10.0,equity,false,"Qatar Investment Authority / Valor Capital",Bloomberg September 19 2025,Pure equity raise at $200B valuation; investors include QIA and Valor Capital
2025-10-07,xAI,20.0,hybrid,true,Nvidia (SPV equity investor),Bloomberg October 7 2025,SPV: $7.5B equity + $12.5B debt secured by Nvidia GPUs — highly circular: Nvidia invests $2B equity to finance purchase of its own chips; off-balance-sheet for xAI
2025-10-21,Meta / Blue Owl,27.0,hybrid,false,Blue Owl Capital,Meta press release October 21 2025,Hyperion campus JV in Richland Parish LA — Blue Owl holds 80% stake; largest-ever private credit DC transaction
2026-04-01,Related Digital / Oracle,16.0,debt,true,"Oracle (tenant) / Blackstone / BofA",Bloomberg April 1 2026,Saline Township MI DC: $2B equity (Blackstone) + $14B debt (BofA); Oracle is tenant and Stargate JV partner — mild circularity
2026-03-30,Mistral AI,0.83,debt,true,Nvidia (GPU supplier),CNBC March 30 2026,830M debt from 7-bank consortium (led Bpifrance) to purchase 13800 Nvidia GB300 GPUs + 44 MW Paris DC — potential circular: Nvidia supplies GPUs that may collateralize the loan
2026-01-01,Nebius,4.34,debt,false,,IndexBox 2026,Convertible debt for AI infrastructure; 2026 capex plan $16-20B; European AI infrastructure firm (Yandex spinout)
2026-01-01,Oracle,50.0,hybrid,true,"OpenAI / xAI / Meta / Nvidia (customers)",DCD 2026,"Oracle plans $45-50B debt+equity in 2026 for cloud buildout; key customers include OpenAI, xAI, Meta, Nvidia — circular: same parties are both customers and financing counterparties"
2026-03-31,OpenAI,122.0,equity,true,Amazon/Nvidia/SoftBank/Microsoft,https://openai.com/index/accelerating-the-next-phase-ai/,$852B valuation - largest private raise ever
2026-02-02,Waymo,16.0,equity,true,Alphabet/Dragoneer/DST Global/Sequoia,https://waymo.com/blog/2026/02/waymo-raises-usd16-billion-investment-round/,largest AV investment ever - $126B valuation
2026-03-09,AMI Labs,1.03,equity,false,Cathay Innovation/Bezos Expeditions/Nvidia,https://techcrunch.com/2026/03/09/yann-lecuns-ami-labs-raises-1-03-billion-to-build-world-models/,Yann LeCun world models startup - largest EU seed ever
2026-04-21,Cursor (Anysphere),10.0,hybrid,true,SpaceX/xAI,https://techcrunch.com/2026/04/22/how-spacex-preempted-a-2b-fundraise-with-a-60b-buyout-offer/,SpaceX $10B collab fee or $60B acquisition - deal structure unusual
2026-02-09,Alphabet,32.0,debt,false,,https://www.datacenterdynamics.com/en/news/google-secures-nearly-32bn-in-debt-following-major-data-center-capex-commitment/,multi-currency bond incl century bond - AI capex funding
2026-04-15,Alphabet (Google-linked DCs),5.7,debt,true,Google (tenant),https://www.bloomberg.com/news/articles/2026-04-15/google-linked-data-centers-selling-record-5-7-billion-junk-bond,record DC junk bond - $19B investor orders
2026-03-10,Alphabet / Intersect Power,4.75,acquisition,true,Alphabet (acquirer),https://abc.xyz/investor/news/news-details/2025/Alphabet-Announces-Agreement-to-Acquire-Intersect-to-Advance-U-S--Energy-Innovation-2025-DVIuVDM9wW/default.aspx,energy infra acquisition - completed Mar 2026
2026-02-12,Tract Capital / Fleet Data Centers,3.8,debt,true,Nvidia (tenant),https://www.bloomberg.com/news/articles/2026-02-12/nvidia-to-lease-data-center-funded-by-3-8-billion-of-junk-bonds,200MW Nevada DC - Nvidia 16yr lease
2026-04-28,Tract Capital / Fleet Data Centers,4.59,debt,true,Nvidia (tenant),https://www.bloomberg.com/news/articles/2026-04-28/nvidia-tied-data-center-raises-4-59-billion-from-junk-bond-sale,second tranche NV campus - 6.74% yield
2026-03-31,CoreWeave,8.5,debt,true,Meta (contract backing),https://www.bloomberg.com/news/articles/2026-03-31/coreweave-crwv-raises-8-5-billion-gpu-loan-backed-by-meta-deal,largest GPU-backed debt ever - secured by Meta contracts
2026-04-09,CoreWeave,3.0,debt_convertible,false,,https://fortune.com/2026/04/13/tens-billions-days-coreweave-shows-how-aggressively-ai-infrastructure-being-funded/,convertible debt for $30-35B capex plan
2026-04-30,CoreWeave,3.1,debt,false,Morgan Stanley (lead),https://www.bloomberg.com/news/articles/2026-04-30/banks-kick-off-3-1-billion-loan-sale-for-coreweave-amid-ai-boom,leveraged loan - adds to $2.75B prior April raise
2026-04-01,CoreWeave,1.0,debt,false,,https://www.quiverquant.com/news/CoreWeave+Raises+Another+$1+Billion+in+Junk+Bonds+as+AI+Infrastructure+Financing+Surges,9.75% senior notes - add-on to 2026 indenture
2025-09-01,Nebius / Microsoft,17.4,hybrid,true,Microsoft (customer),https://nebius.com/newsroom/nebius-announces-multi-billion-dollar-agreement-with-microsoft-for-ai-infrastructure,5yr GPU lease - NJ DC - back-end loaded into 2026
2026-03-16,Nebius / Meta,27.0,hybrid,true,Meta (customer),https://www.cnbc.com/2026/03/16/meta-nebius-ai-infrastructure.html,$12B dedicated + $15B option - Vera Rubin GPUs
2026-04-09,CoreWeave / Meta,21.0,hybrid,true,Meta (customer),https://www.cnbc.com/2026/04/09/meta-commits-to-spending-additional-21-billion-with-coreweave-.html,expanded deal - total Meta commitment $35.2B - backlog $66.8B
