date,trailing_pe,source
1995-01-01,14.89,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-02-01,15.11,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-03-01,15.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-04-01,15.31,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-05-01,15.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-06-01,15.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-07-01,16.07,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-08-01,16.01,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-09-01,16.45,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-10-01,16.76,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-11-01,17.33,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-12-01,18.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-01-01,18.08,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-02-01,19.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-03-01,19.01,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-04-01,18.85,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-05-01,19.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-06-01,19.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-07-01,18.26,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-08-01,18.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-09-01,18.75,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-10-01,19.0,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-11-01,19.45,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-12-01,19.19,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-01-01,19.53,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-02-01,20.09,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-03-01,19.69,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-04-01,18.94,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-05-01,20.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-06-01,21.61,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-07-01,22.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-08-01,22.83,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-09-01,23.06,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-10-01,23.58,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-11-01,23.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-12-01,24.23,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-01-01,24.29,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-02-01,25.85,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-03-01,27.23,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-04-01,28.26,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-05-01,28.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-06-01,28.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-07-01,29.9,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-08-01,28.0,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-09-01,26.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-10-01,27.2,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-11-01,30.25,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-12-01,31.56,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-01-01,32.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-02-01,32.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-03-01,33.39,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-04-01,34.0,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-05-01,33.19,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-06-01,32.24,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-07-01,32.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-08-01,30.89,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-09-01,29.99,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-10-01,28.66,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-11-01,29.74,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1999-12-01,29.66,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-01-01,29.04,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-02-01,27.76,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-03-01,28.31,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-04-01,28.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-05-01,27.49,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-06-01,28.16,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-07-01,28.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-08-01,27.97,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-09-01,27.34,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-10-01,26.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-11-01,26.9,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2000-12-01,26.62,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-01-01,27.55,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-02-01,27.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-03-01,26.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-04-01,27.96,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-05-01,32.02,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-06-01,33.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-07-01,35.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-08-01,37.85,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-09-01,36.9,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-10-01,39.72,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-11-01,43.62,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2001-12-01,46.37,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-01-01,46.17,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-02-01,44.57,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-03-01,46.71,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-04-01,43.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-05-01,41.41,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-06-01,37.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-07-01,32.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-08-01,31.53,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-09-01,28.89,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-10-01,29.24,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-11-01,32.03,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2002-12-01,32.59,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-01-01,31.43,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-02-01,28.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-03-01,27.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-04-01,28.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-05-01,28.24,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-06-01,28.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-07-01,27.65,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-08-01,26.57,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-09-01,26.42,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-10-01,24.75,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-11-01,23.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2003-12-01,22.17,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-01-01,22.73,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-02-01,22.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-03-01,21.62,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-04-01,21.23,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-05-01,20.14,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-06-01,20.17,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-07-01,19.51,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-08-01,19.03,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-09-01,19.35,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-10-01,19.25,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-11-01,20.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2004-12-01,20.48,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-01-01,19.99,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-02-01,20.11,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-03-01,19.84,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-04-01,19.02,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-05-01,18.93,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-06-01,19.0,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-07-01,19.0,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-08-01,18.72,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-09-01,18.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-10-01,17.64,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-11-01,18.01,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2005-12-01,18.07,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-01-01,18.07,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-02-01,17.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-03-01,17.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-04-01,17.77,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-05-01,17.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-06-01,16.82,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-07-01,16.61,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-08-01,16.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-09-01,16.77,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-10-01,17.14,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-11-01,17.24,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2006-12-01,17.38,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-01-01,17.36,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-02-01,17.49,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-03-01,16.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-04-01,17.48,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-05-01,17.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-06-01,17.83,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-07-01,18.36,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-08-01,18.02,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-09-01,19.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-10-01,20.68,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-11-01,20.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2007-12-01,22.35,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-01-01,21.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-02-01,21.74,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-03-01,21.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-04-01,23.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-05-01,25.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-06-01,26.11,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-07-01,25.37,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-08-01,26.83,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-09-01,26.48,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-10-01,27.22,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-11-01,34.99,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2008-12-01,58.98,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-01-01,70.91,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-02-01,84.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
