date,trailing_pe,source
2009-03-01,110.37,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-04-01,119.85,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-05-01,123.73,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-06-01,123.32,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-07-01,101.87,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-08-01,92.95,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-09-01,83.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-10-01,42.12,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-11-01,28.51,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2009-12-01,21.78,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-01-01,20.7,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-02-01,18.91,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-03-01,18.91,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-04-01,19.01,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-05-01,17.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-06-01,16.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-07-01,15.72,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-08-01,15.47,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-09-01,15.61,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-10-01,15.9,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-11-01,15.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2010-12-01,16.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-01-01,16.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-02-01,16.52,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-03-01,16.04,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-04-01,16.21,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-05-01,16.12,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-06-01,15.35,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-07-01,15.61,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-08-01,13.79,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-09-01,13.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-10-01,13.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-11-01,14.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2011-12-01,14.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-01-01,14.87,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-02-01,15.37,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-03-01,15.69,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-04-01,15.7,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-05-01,15.22,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-06-01,15.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-07-01,15.55,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-08-01,16.14,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-09-01,16.69,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-10-01,16.62,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-11-01,16.12,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2012-12-01,16.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-01-01,17.03,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-02-01,17.32,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-03-01,17.68,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-04-01,17.69,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-05-01,18.25,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-06-01,17.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-07-01,18.12,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-08-01,17.91,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-09-01,17.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-10-01,17.86,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-11-01,18.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2013-12-01,18.04,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-01-01,18.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-02-01,18.06,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-03-01,18.48,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-04-01,18.35,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-05-01,18.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-06-01,18.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-07-01,18.96,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-08-01,18.68,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-09-01,18.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-10-01,18.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-11-01,19.75,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2014-12-01,20.08,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-01-01,20.02,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-02-01,20.77,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-03-01,20.96,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-04-01,21.42,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-05-01,21.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-06-01,22.12,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-07-01,22.4,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-08-01,22.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-09-01,21.45,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-10-01,22.68,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-11-01,23.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2015-12-01,23.74,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-01-01,22.18,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-02-01,22.02,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-03-01,23.39,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-04-01,23.97,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-05-01,23.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-06-01,23.97,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-07-01,24.52,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-08-01,24.57,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-09-01,24.22,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-10-01,23.57,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-11-01,23.35,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2016-12-01,23.76,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-01-01,23.59,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-02-01,23.68,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-03-01,23.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-04-01,23.24,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-05-01,23.31,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-06-01,23.4,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-07-01,23.36,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-08-01,23.16,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-09-01,23.28,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-10-01,23.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-11-01,23.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2017-12-01,24.25,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-01-01,24.97,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-02-01,23.82,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-03-01,23.41,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-04-01,22.53,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-05-01,22.49,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-06-01,22.49,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-07-01,22.33,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-08-01,22.37,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-09-01,22.25,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-10-01,21.25,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-11-01,20.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2018-12-01,19.39,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-01-01,19.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-02-01,20.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-03-01,20.86,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-04-01,21.56,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-05-01,21.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-06-01,21.37,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-07-01,22.28,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-08-01,21.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-09-01,22.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-10-01,22.04,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-11-01,22.62,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-12-01,22.78,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-01-01,24.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-02-01,26.42,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-03-01,22.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-04-01,24.97,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-05-01,27.82,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-06-01,31.29,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-07-01,32.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-08-01,34.41,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-09-01,34.27,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-10-01,35.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-11-01,37.16,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-12-01,39.26,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-01-01,35.96,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-02-01,33.24,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-03-01,30.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-04-01,29.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-05-01,28.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-06-01,26.7,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-07-01,26.56,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-08-01,26.22,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-09-01,25.34,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-10-01,24.39,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-11-01,24.51,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-12-01,23.63,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-01-01,23.11,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-02-01,22.42,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-03-01,22.19,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-04-01,22.4,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-05-01,20.81,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-06-01,20.28,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-07-01,20.53,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-08-01,22.01,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-09-01,20.57,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-10-01,20.43,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-11-01,22.06,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2022-12-01,22.65,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2023-01-01,22.82,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2023-02-01,23.4,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2023-03-01,22.66,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2023-04-01,23.26,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2023-05-01,23.14,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2023-06-01,23.99,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
